stage,task_id,job_id,classification,path,size_bytes,modified_at,sha256,retention_status
Stage F,F1-P0,,no_stage_f_scratch_outputs_found,/scratch*/pr21vyci/adaptive-remeshing (no mode_ii/stage_f outputs),0,,,none_found
Stage F,F1-J0,1378911.mmaster02,stage_f_mode_ii_h0_datacheck_pass,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h0_dc_1378911.mmaster02,,2026-07-26,,retained_scratch
Stage F,F1-J1,1378919.mmaster02,stage_f_mode_ii_h0_serial_staging_fail,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h0_serial_1378919.mmaster02,,2026-07-26,,retained_scratch
Stage F,F1-J1-R1,1378920.mmaster02,stage_f_mode_ii_h0_serial_staging_fail,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h0_serial_1378920.mmaster02,,2026-07-26,,retained_scratch
Stage F,F1-J1-R2,1378942.mmaster02,stage_f_mode_ii_h0_second_replacement_fail,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h0_serial_1378942.mmaster02,,2026-07-27,,retained_scratch
Stage F,F1-C2-DATACHECK,1378958.mmaster02,stage_f_mode_ii_h0_endpoint_corrected_datacheck_stage_fail,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h0_endpoint_corrected_datacheck_1378958.mmaster02,,2026-07-27,,retained_scratch
Stage F,F1-C2-R1-DATACHECK,1379387.mmaster02,stage_f_mode_ii_h0_endpoint_corrected_datacheck_replacement_pass,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h0_endpoint_corrected_datacheck_1379387.mmaster02,,2026-07-28,,retained_scratch
Stage F,F1-C2-R1-SOLVER,1379393.mmaster02,stage_f_mode_ii_h0_endpoint_corrected_serial_baseline_pass,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h0_endpoint_corrected_serial_1379393.mmaster02,,2026-07-28,,retained_scratch
Stage F,F2-H1-DATACHECK,1379431.mmaster02,stage_f_mode_ii_h1_uniform_datacheck_pass,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_dc_1379431.mmaster02,,2026-07-28,,retained_scratch
Stage F,F2-H1-SOLVER,1379433.mmaster02,stage_f_mode_ii_h1_uniform_serial_validation_fail,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_serial_1379433.mmaster02,,2026-07-28,,retained_scratch
Stage F,F2-H1-ENDPOINT-SWEEP-BATCH,1379481.mmaster02,stage_f_mode_ii_h1_technical_pass_postpeak_overshoot_warning,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_sweep_u015_1379481.mmaster02,,2026-07-28,,retained_scratch
Stage F,F2-H1-ENDPOINT-SWEEP-BATCH,1379482.mmaster02,stage_f_mode_ii_h1_technical_pass_postpeak_overshoot_warning,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_sweep_u020_1379482.mmaster02,,2026-07-28,,retained_scratch
Stage F,F2-H1-ENDPOINT-SWEEP-BATCH,1379483.mmaster02,stage_f_mode_ii_h1_technical_pass_postpeak_overshoot_warning,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_sweep_u030_1379483.mmaster02,,2026-07-28,,retained_scratch
Stage F,F2-H1-ENDPOINT-SWEEP-BATCH,1379484.mmaster02,stage_f_mode_ii_h1_technical_pass_postpeak_overshoot_warning,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_sweep_u040_1379484.mmaster02,,2026-07-28,,retained_scratch
Stage F,F3-STAGE-F3-CLOSEOUT,1379578.mmaster02,stage_f_mode_ii_h2_uniform_serial_pass,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h2_serial_1379578.mmaster02,660351264,2026-07-29,,retained_scratch
Stage F,F3-STAGE-F3-AUTH-PUBLISH-AND-ODB-VERIFY,1379579.mmaster02,stage_f3_odb_miseseri_verified,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_miseseri_preanalysis_1379579.mmaster02,,2026-07-29,,retained_scratch
Stage F,F5-H2-COMPILER-DATACHECK-SMOKE-EXECUTE,1379939.mmaster02,stage_f5_h2_compiler_datacheck_smoke_pass,/scratch/pr21vyci/adaptive-remeshing/runs/stage_f5/F5CMP_20260730_113544_e8a1d32/h2_compiler_datacheck,234931785,2026-07-30,,retained_scratch_binaries_excluded_from_repository
